param_subsample,param_scale_pos_weight,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,mean_test_f1,std_test_f1,mean_test_auc,std_test_auc,rank_test_f1
0.9,3,500,6,0.05,0.7,0.717889448769713,0.00423995897699361,0.9276314416474657,0.0017184259038471666,1
1.0,1,500,3,0.2,1.0,0.7121449017698992,0.006448347444671278,0.9278397603872376,0.0017368217408137926,2
1.0,1,500,6,0.05,0.8,0.7120022944912501,0.002476184434635116,0.9283255380544264,0.0012654777138756063,3
0.8,5,200,10,0.1,1.0,0.7095909208771264,0.00566871268170558,0.9210678104749501,0.00216554643433398,4
1.0,1,200,5,0.1,0.8,0.7094490964537283,0.004941852670262079,0.928223778443539,0.0013918831655191323,5
0.9,3,500,6,0.2,0.8,0.7080954471099621,0.004815352330013768,0.9162208362984384,0.0019453883131717983,6
0.9,1,500,5,0.1,0.8,0.706764095506161,0.004047449783038182,0.9261707096454486,0.0014978429275492322,7
0.9,5,500,6,0.1,0.8,0.7055477119232919,0.0018118553135044039,0.9234836103247881,0.0017460209282298704,8
0.9,1,300,10,0.05,0.8,0.702316204673718,0.004731401906188079,0.9260010360048779,0.0014936021820386811,9
0.8,3,100,10,0.01,0.9,0.7006334975865097,0.005530175722528994,0.9182303544354368,0.0027808341439424992,10
0.9,5,300,5,0.1,0.7,0.6962585806347087,0.0013735205096481564,0.9274986827889045,0.0013943827362541043,11
0.8,5,100,5,0.2,0.9,0.6940128474006954,0.0023847889809338867,0.9261237737907938,0.001272290022833994,12
1.0,5,200,3,0.2,0.9,0.6914219093977207,0.0008816293712226452,0.9272914259255688,0.0011050527766219625,13
1.0,1,300,10,0.2,0.8,0.6896850537515843,0.0067722025113816685,0.9172399705659506,0.0019368049987706511,14
0.9,3,100,6,0.01,0.9,0.6802811074568565,0.004282497976461375,0.9116810793536313,0.0017959774117490839,15
1.0,1,500,5,0.01,1.0,0.6732915915932131,0.0068592641131414766,0.9202113323311031,0.0015681943863745664,16
0.7,5,500,5,0.01,0.8,0.6728697301286845,0.00013945767412322803,0.9214848513487294,0.0015670014776052695,17
0.9,5,300,6,0.01,0.7,0.6664673004275291,0.0011610981134716437,0.9194702007731642,0.0019044982772421,18
0.8,5,300,6,0.01,1.0,0.6635618027179072,0.0005068758931778565,0.918676379733295,0.0018477153699430948,19
0.8,1,100,3,0.01,0.8,0.37291367333835285,0.005978827381703005,0.8955667515817995,0.001845434900479818,20
