param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_class_weight,param_bootstrap,mean_test_f1,std_test_f1,mean_test_auc,std_test_auc,rank_test_f1
200,2,2,,balanced,True,0.7027722730031968,0.0048373203263897225,0.914219576335964,0.0017969216625883587,1
200,10,2,,balanced_subsample,False,0.6990308793950618,0.004110802758918752,0.9145761516859254,0.001902279598984255,2
300,5,4,,balanced_subsample,True,0.695142700606711,0.002815796604464428,0.9139156779322768,0.0017773366566926523,3
100,10,4,30,balanced,False,0.69466665408097,0.0038615839129882046,0.9142257295732245,0.0019911206363900425,4
100,2,1,30,balanced,True,0.6928413163826992,0.007888513212312818,0.9074540825032056,0.00211309315049266,5
100,10,2,20,balanced,True,0.6908607253164725,0.003254627278288604,0.9132611091551636,0.002177523053000015,6
200,2,4,20,balanced_subsample,True,0.6896318066776836,0.00389324640044731,0.912996476712053,0.001629694604654152,7
100,2,4,20,balanced,True,0.6887506287353219,0.003418003258523767,0.91276436734013,0.001801228923507104,8
100,10,2,,,True,0.6785917694682787,0.00472835484225771,0.9155527616124091,0.0016577716418284675,9
300,5,2,30,,False,0.6781886695657553,0.006245905749221638,0.915927247181846,0.0019491641667475378,10
200,5,1,,,True,0.6730201889251037,0.0039482145280493545,0.9079659981206573,0.0013378086857770359,11
200,10,1,20,,True,0.6703740588564283,0.00830400596014334,0.9155047109953274,0.0016357994998118799,12
200,5,1,20,,False,0.670324683966259,0.008795919959724292,0.9150727809952613,0.002008036973447154,13
300,2,2,20,,True,0.6698886678835653,0.008926151547163934,0.9160520797871333,0.002029907834441934,14
300,2,2,20,,False,0.669435054716847,0.009251487553722307,0.916015045874822,0.0019899375325588115,15
200,5,1,10,balanced_subsample,False,0.6674650455015797,0.003768873639479436,0.9061447431332242,0.002001968522525916,16
300,2,2,10,balanced,False,0.6666624971120844,0.003389122814210565,0.9063557455564717,0.0016085415895151242,17
100,10,1,10,,True,0.6443171063020171,0.005685378051156605,0.9096006617540487,0.0020870211293875134,18
200,5,1,10,,True,0.6423716322449665,0.006997040650854864,0.9097700797957379,0.001840150199548593,19
300,10,4,10,,False,0.6397204609717854,0.005843583873813618,0.909779232224293,0.0022166196247526506,20
